Condo Name,District,Date Posted,Agent Id,Price,Beds,Bathrooms,Sq Feet,Sq Meter
Rhapsody On Mount Elizabeth ,D09,"18 Mar, 2014",314186,"SGD 8,000 (Price on Ask)",3,2,"1,561 sqft",145 sqm
River Place ,D03,"18 Mar, 2014",314186,"SGD 8,200 (Price on Ask)",4,4,"2,067 sqft",192 sqm
Serenity Park ,D28,"18 Mar, 2014",314186,"SGD 3,300 (Price on Ask)",3,3,"1,313 sqft",122 sqm
The Banyan Condo ,D05,"18 Mar, 2014",314186,"SGD 4,200 (Price on Ask)",3,3,"1,485 sqft",138 sqm
Rosewood Suites ,D25,"18 Mar, 2014",288837,"SGD 5,000 (Negotiable)",3,0,"2,303 sqft",214 sqm
The Laurels @ Cairnhill Road ,D09,"18 Mar, 2014",314186,"SGD 5,750 (Price on Ask)",2,2,"1,001 sqft",93 sqm
The Interlace ,D04,"18 Mar, 2014",314186,"SGD 7,500 (Price on Ask)",3,2,"1,808 sqft",168 sqm
The Summit ,D16,"18 Mar, 2014",294914,"SGD 3,600 (Negotiable)",3,0,"1,238 sqft",116 sqm
Vida ,D09,"18 Mar, 2014",314186,"SGD 6,900 (Price on Ask)",2,2,"1,324 sqft",123 sqm
Villa Azura ,D10,"18 Mar, 2014",314186,"SGD 5,600 (Price on Ask)",4,3,"1,765 sqft",164 sqm
The Estoril ,D10,"18 Mar, 2014",295500,"SGD 6,000 ",3,4,"2,088 sqft",194 sqm
Costa Del Sol ,D16,"18 Mar, 2014",294914,"SGD 6,800 (Negotiable)",4,0,"1,561 sqft",146 sqm
Mera Springs ,D08,"18 Mar, 2014",294914,"SGD 5,500 (Negotiable)",4,0,"1,550 sqft",144 sqm
The Wharf Residence ,D09,"18 Mar, 2014",319436,"SGD 5,900 (Negotiable)",2,3,"1,012 sqft",94 sqm
Amber Glades ,D15,"18 Mar, 2014",280303,"SGD 6,100 ",4,3,"1,668 sqft",155 sqm
Banyan Condominium ,D05,"18 Mar, 2014",280303,"SGD 4,600 ",3,3,"1,582 sqft",147 sqm
The Colonnade ,D10,"18 Mar, 2014",281927,"SGD 16,000 ",3,0,"3,600 sqft",335 sqm
The Sound ,D15,"18 Mar, 2014",294914,"SGD 3,800 (Negotiable)",1,1,624 sqft,58 sqm
Waterbank At Dakota ,D14,"18 Mar, 2014",288837,"SGD 6,500 (Guide Price)",4,4,"1,572 sqft",147 sqm
The Sail@Marina Bay ,D01,"18 Mar, 2014",294914,"SGD 5,000 ",2,0,882 sqft,82 sqm
Parc Palais ,D23,"18 Mar, 2014",284577,"SGD 3,800 (Negotiable)",4,4,"1,481 sqft",138 sqm
Caribbean At Keppel Bay ,D04,"18 Mar, 2014",287305,"SGD 6,600 (Negotiable)",3,3,"1,281 sqft",119 sqm
Grange Heights ,D09,"18 Mar, 2014",287305,"SGD 9,500 (Negotiable)",4,4,"3,025 sqft",281 sqm
Reflections At Keppel Bay ,D04,"18 Mar, 2014",287305,"SGD 5,000 (Negotiable)",2,2,883 sqft,82 sqm
Centennia Suites ,D09,"18 Mar, 2014",287305,"SGD 7,500 (Negotiable)",3,3,"1,238 sqft",115 sqm
The Sail@Marina Bay ,D01,"18 Mar, 2014",294914,"SGD 6,600 (Guide Price)",3,0,"1,184 sqft",110 sqm
The Sail@Marina Bay ,D01,"18 Mar, 2014",298804,"SGD 5,500 (Guide Price)",1,1,700 sqft,66 sqm
Hillview Heights ,D23,"18 Mar, 2014",280186,"SGD 2,900 (Negotiable)",3,3,"1,270 sqft",118 sqm
Casa Merah ,D16,"18 Mar, 2014",294914,Price on Ask ,3,0,"1,249 sqft",117 sqm
The Colonnade ,D10,"18 Mar, 2014",281927,"SGD 17,500 ",4,4,"3,600 sqft",335 sqm
Laverne's Loft ,D15,"18 Mar, 2014",286414,"SGD 2,400 (Price on Ask)",1,1,400 sqft,38 sqm
The Clift ,D01,"18 Mar, 2014",294914,"SGD 5,400 (Guide Price)",1,1,775 sqft,72 sqm
Holland Mansion ,D10,"18 Mar, 2014",297315,"SGD 8,499 ",4,0,"2,607 sqft",242 sqm
Bagnall Court ,D16,"18 Mar, 2014",294914,"SGD 4,100 (Offers in Excess of)",3,3,"2,500 sqft",233 sqm
